 Name                Version       License                              
 CacheControl        0.14.2        Apache Software License              
 RapidFuzz           3.11.0        MIT License                          
 SecretStorage       3.3.3         BSD License                          
 backports.tarfile   1.2.0         MIT License                          
 build               1.2.2.post1   MIT License                          
 certifi             2024.12.14    Mozilla Public License 2.0 (MPL 2.0) 
 cffi                1.17.1        MIT License                          
 charset-normalizer  3.4.1         MIT License                          
 cleo                2.1.0         MIT License                          
 crashtest           0.4.1         MIT License                          
 cryptography        44.0.0        Apache Software License; BSD License 
 distlib             0.3.9         Python Software Foundation License   
 dulwich             0.22.7        Apache Software License              
 fastjsonschema      2.21.1        BSD License                          
 filelock            3.16.1        The Unlicense (Unlicense)            
 idna                3.10          BSD License                          
 importlib_metadata  8.5.0         Apache Software License              
 installer           0.7.0         MIT License                          
 jaraco.classes      3.4.0         MIT License                          
 jaraco.context      6.0.1         MIT License                          
 jaraco.functools    4.1.0         MIT License                          
 jeepney             0.8.0         MIT License                          
 keyring             25.6.0        MIT License                          
 more-itertools      10.6.0        MIT License                          
 msgpack             1.1.0         Apache Software License              
 packaging           24.2          Apache Software License; BSD License 
 pkginfo             1.12.0        MIT License                          
 platformdirs        4.3.6         MIT License                          
 poetry              2.0.1         MIT License                          
 poetry-core         2.0.1         MIT License                          
 pycparser           2.22          BSD License                          
 pyproject_hooks     1.2.0         MIT License                          
 requests            2.32.3        Apache Software License              
 requests-toolbelt   1.0.0         Apache Software License              
 shellingham         1.5.4         ISC License (ISCL)                   
 tomlkit             0.13.2        MIT License                          
 trove-classifiers   2025.1.15.22  Apache Software License              
 urllib3             2.3.0         MIT License                          
 uv                  0.5.21        Apache Software License; MIT License 
 virtualenv          20.29.1       MIT License                          
 zipp                3.21.0        MIT License                          
